Epoch, Batch, Loss_D, Loss_G, D(x), D(G(z))
[1/1],[374/938],0.0020,7.7113,0.9995,0.0015 / 0.0005
[1/1],[375/938],0.0020,7.6808,0.9996,0.0016 / 0.0005
[1/1],[376/938],0.0023,7.6160,0.9995,0.0018 / 0.0005
[1/1],[377/938],0.0023,7.6995,0.9998,0.0021 / 0.0005
[1/1],[378/938],0.0028,7.7444,0.9990,0.0018 / 0.0005
[1/1],[379/938],0.0048,7.6255,0.9967,0.0013 / 0.0005
[1/1],[380/938],0.0018,7.5946,0.9998,0.0017 / 0.0005
[1/1],[381/938],0.0019,7.6866,0.9997,0.0016 / 0.0005
[1/1],[382/938],0.0017,7.7385,0.9998,0.0015 / 0.0005
[1/1],[383/938],0.0021,7.7136,0.9998,0.0019 / 0.0005
[1/1],[384/938],0.0026,7.7251,0.9992,0.0018 / 0.0005
[1/1],[385/938],0.0023,7.7724,0.9996,0.0019 / 0.0004
[1/1],[386/938],0.0020,7.8507,0.9995,0.0016 / 0.0004
[1/1],[387/938],0.0021,7.8454,0.9994,0.0015 / 0.0004
[1/1],[388/938],0.0027,7.6612,0.9989,0.0016 / 0.0005
[1/1],[389/938],0.0029,7.7168,0.9992,0.0021 / 0.0005
[1/1],[390/938],0.0030,7.7635,0.9989,0.0018 / 0.0004
[1/1],[391/938],0.0036,7.7236,0.9981,0.0017 / 0.0005
[1/1],[392/938],0.0028,7.7464,0.9993,0.0020 / 0.0005
[1/1],[393/938],0.0031,7.8262,0.9989,0.0020 / 0.0004
[1/1],[394/938],0.0024,7.9226,0.9995,0.0018 / 0.0004
[1/1],[395/938],0.0028,7.9249,0.9990,0.0019 / 0.0004
[1/1],[396/938],0.0033,7.8979,0.9988,0.0021 / 0.0004
[1/1],[397/938],0.0043,7.9795,0.9984,0.0027 / 0.0004
[1/1],[398/938],0.0054,8.0018,0.9973,0.0028 / 0.0004
[1/1],[399/938],0.0077,8.1067,0.9961,0.0038 / 0.0003
[1/1],[400/938],0.0061,8.7234,0.9977,0.0039 / 0.0002
[1/1],[401/938],0.0057,8.5723,0.9970,0.0027 / 0.0002
[1/1],[402/938],0.0353,5.0270,0.9805,0.0035 / 0.0073
[1/1],[403/938],0.2101,56.1388,0.9984,0.1861 / 0.0000
[1/1],[404/938],43.5753,59.4932,0.0000,0.0000 / 0.0000
[1/1],[405/938],48.7843,60.2605,0.0000,0.0000 / 0.0000
[1/1],[406/938],49.7634,60.5203,0.0000,0.0000 / 0.0000
[1/1],[407/938],50.1250,60.6498,0.0000,0.0000 / 0.0000
[1/1],[408/938],50.3859,60.7177,0.0000,0.0000 / 0.0000
[1/1],[409/938],50.4574,60.7488,0.0000,0.0000 / 0.0000
[1/1],[410/938],50.2864,60.7159,0.0000,0.0000 / 0.0000
[1/1],[411/938],50.2767,60.7616,0.0000,0.0000 / 0.0000
[1/1],[412/938],50.2745,60.7478,0.0000,0.0000 / 0.0000
[1/1],[413/938],50.4600,60.7482,0.0000,0.0000 / 0.0000
[1/1],[414/938],50.4400,60.7434,0.0000,0.0000 / 0.0000
[1/1],[415/938],50.4532,60.7712,0.0000,0.0000 / 0.0000
[1/1],[416/938],50.5973,60.7619,0.0000,0.0000 / 0.0000
[1/1],[417/938],50.3165,60.7660,0.0000,0.0000 / 0.0000
[1/1],[418/938],50.6207,60.7590,0.0000,0.0000 / 0.0000
[1/1],[419/938],50.6062,60.7646,0.0000,0.0000 / 0.0000
[1/1],[420/938],50.6068,60.7502,0.0000,0.0000 / 0.0000
[1/1],[421/938],50.4108,60.7347,0.0000,0.0000 / 0.0000
[1/1],[422/938],50.3884,60.7737,0.0000,0.0000 / 0.0000
[1/1],[423/938],50.5123,60.7413,0.0000,0.0000 / 0.0000
[1/1],[424/938],50.3548,60.7566,0.0000,0.0000 / 0.0000
[1/1],[425/938],50.2085,60.7711,0.0000,0.0000 / 0.0000
[1/1],[426/938],50.3402,60.7777,0.0000,0.0000 / 0.0000
[1/1],[427/938],50.4378,60.7466,0.0000,0.0000 / 0.0000
[1/1],[428/938],50.6317,60.7807,0.0000,0.0000 / 0.0000
[1/1],[429/938],50.3637,60.7286,0.0000,0.0000 / 0.0000
[1/1],[430/938],50.4452,60.7569,0.0000,0.0000 / 0.0000
[1/1],[431/938],50.4033,60.7619,0.0000,0.0000 / 0.0000
[1/1],[432/938],50.4949,60.7572,0.0000,0.0000 / 0.0000
[1/1],[433/938],50.4921,60.7558,0.0000,0.0000 / 0.0000
[1/1],[434/938],50.4760,60.7474,0.0000,0.0000 / 0.0000
[1/1],[435/938],50.6644,60.7218,0.0000,0.0000 / 0.0000
[1/1],[436/938],50.4752,60.7494,0.0000,0.0000 / 0.0000
[1/1],[437/938],50.1479,60.7438,0.0000,0.0000 / 0.0000
[1/1],[438/938],50.1584,60.7741,0.0000,0.0000 / 0.0000
[1/1],[439/938],50.5679,60.7507,0.0000,0.0000 / 0.0000
[1/1],[440/938],50.4244,60.7633,0.0000,0.0000 / 0.0000
[1/1],[441/938],50.2518,60.7592,0.0000,0.0000 / 0.0000
[1/1],[442/938],50.3803,60.7442,0.0000,0.0000 / 0.0000
[1/1],[443/938],50.5293,60.7781,0.0000,0.0000 / 0.0000
[1/1],[444/938],50.4954,60.7384,0.0000,0.0000 / 0.0000
[1/1],[445/938],50.3127,60.7735,0.0000,0.0000 / 0.0000
[1/1],[446/938],50.4174,60.7522,0.0000,0.0000 / 0.0000
[1/1],[447/938],50.5943,60.7697,0.0000,0.0000 / 0.0000
[1/1],[448/938],50.5341,60.7661,0.0000,0.0000 / 0.0000
[1/1],[449/938],50.4947,60.7726,0.0000,0.0000 / 0.0000
[1/1],[450/938],50.6196,60.7624,0.0000,0.0000 / 0.0000
[1/1],[451/938],50.6748,60.7475,0.0000,0.0000 / 0.0000
[1/1],[452/938],50.4658,60.7694,0.0000,0.0000 / 0.0000
[1/1],[453/938],50.6589,60.7572,0.0000,0.0000 / 0.0000
[1/1],[454/938],50.3667,60.7601,0.0000,0.0000 / 0.0000
[1/1],[455/938],50.4451,60.7639,0.0000,0.0000 / 0.0000
[1/1],[456/938],50.7519,60.7923,0.0000,0.0000 / 0.0000
[1/1],[457/938],50.3691,60.7711,0.0000,0.0000 / 0.0000
[1/1],[458/938],50.2224,60.7675,0.0000,0.0000 / 0.0000
[1/1],[459/938],50.2448,60.7555,0.0000,0.0000 / 0.0000
[1/1],[460/938],50.6073,60.7631,0.0000,0.0000 / 0.0000
[1/1],[461/938],50.3850,60.7618,0.0000,0.0000 / 0.0000
[1/1],[462/938],50.3262,60.7553,0.0000,0.0000 / 0.0000
[1/1],[463/938],50.4022,60.7879,0.0000,0.0000 / 0.0000
[1/1],[464/938],50.4135,60.7551,0.0000,0.0000 / 0.0000
[1/1],[465/938],50.1892,60.7616,0.0000,0.0000 / 0.0000
[1/1],[466/938],50.3963,60.7587,0.0000,0.0000 / 0.0000
[1/1],[467/938],50.3398,60.7671,0.0000,0.0000 / 0.0000
[1/1],[468/938],50.5019,60.7634,0.0000,0.0000 / 0.0000
[1/1],[469/938],50.3287,60.7481,0.0000,0.0000 / 0.0000
[1/1],[470/938],50.6288,60.7596,0.0000,0.0000 / 0.0000
[1/1],[471/938],50.7295,60.7559,0.0000,0.0000 / 0.0000
[1/1],[472/938],50.6305,60.7923,0.0000,0.0000 / 0.0000
[1/1],[473/938],50.3276,60.7637,0.0000,0.0000 / 0.0000
[1/1],[474/938],50.3825,60.7466,0.0000,0.0000 / 0.0000
[1/1],[475/938],50.4924,60.7435,0.0000,0.0000 / 0.0000
[1/1],[476/938],50.4565,60.7457,0.0000,0.0000 / 0.0000
[1/1],[477/938],50.7260,60.7545,0.0000,0.0000 / 0.0000
[1/1],[478/938],50.5080,60.7573,0.0000,0.0000 / 0.0000
[1/1],[479/938],50.2814,60.7320,0.0000,0.0000 / 0.0000
[1/1],[480/938],50.6026,60.7648,0.0000,0.0000 / 0.0000
[1/1],[481/938],50.2368,60.7673,0.0000,0.0000 / 0.0000
[1/1],[482/938],50.3557,60.7571,0.0000,0.0000 / 0.0000
[1/1],[483/938],50.3807,60.7813,0.0000,0.0000 / 0.0000
[1/1],[484/938],50.2955,60.7686,0.0000,0.0000 / 0.0000
[1/1],[485/938],50.3551,60.7641,0.0000,0.0000 / 0.0000
[1/1],[486/938],50.6486,60.7595,0.0000,0.0000 / 0.0000
[1/1],[487/938],50.5052,60.7653,0.0000,0.0000 / 0.0000
[1/1],[488/938],50.5176,60.7552,0.0000,0.0000 / 0.0000
[1/1],[489/938],50.5939,60.7597,0.0000,0.0000 / 0.0000
[1/1],[490/938],50.3724,60.7431,0.0000,0.0000 / 0.0000
[1/1],[491/938],50.4946,60.7418,0.0000,0.0000 / 0.0000
[1/1],[492/938],50.4786,60.7582,0.0000,0.0000 / 0.0000
[1/1],[493/938],50.1094,60.7220,0.0000,0.0000 / 0.0000
[1/1],[494/938],50.3292,60.7842,0.0000,0.0000 / 0.0000
[1/1],[495/938],50.4228,60.7508,0.0000,0.0000 / 0.0000
[1/1],[496/938],50.6209,60.7495,0.0000,0.0000 / 0.0000
[1/1],[497/938],50.5312,60.7365,0.0000,0.0000 / 0.0000
[1/1],[498/938],50.7048,60.7524,0.0000,0.0000 / 0.0000
[1/1],[499/938],50.3336,60.7454,0.0000,0.0000 / 0.0000
[1/1],[500/938],50.5215,60.7441,0.0000,0.0000 / 0.0000
[1/1],[501/938],50.3840,60.7658,0.0000,0.0000 / 0.0000
[1/1],[502/938],50.2879,60.7057,0.0000,0.0000 / 0.0000
[1/1],[503/938],50.7889,60.7789,0.0000,0.0000 / 0.0000
[1/1],[504/938],50.5217,60.7687,0.0000,0.0000 / 0.0000
[1/1],[505/938],50.6429,60.7749,0.0000,0.0000 / 0.0000
[1/1],[506/938],50.3782,60.7653,0.0000,0.0000 / 0.0000
[1/1],[507/938],50.5299,60.7444,0.0000,0.0000 / 0.0000
[1/1],[508/938],50.0075,60.7620,0.0000,0.0000 / 0.0000
[1/1],[509/938],50.1341,60.7585,0.0000,0.0000 / 0.0000
[1/1],[510/938],50.5322,60.7886,0.0000,0.0000 / 0.0000
[1/1],[511/938],50.1415,60.7788,0.0000,0.0000 / 0.0000
[1/1],[512/938],50.2679,60.7944,0.0000,0.0000 / 0.0000
[1/1],[513/938],50.4019,60.7608,0.0000,0.0000 / 0.0000
[1/1],[514/938],50.0987,60.7655,0.0000,0.0000 / 0.0000
[1/1],[515/938],50.4306,60.7595,0.0000,0.0000 / 0.0000
[1/1],[516/938],50.2526,60.7879,0.0000,0.0000 / 0.0000
[1/1],[517/938],50.2366,60.7495,0.0000,0.0000 / 0.0000
[1/1],[518/938],50.3330,60.7196,0.0000,0.0000 / 0.0000
[1/1],[519/938],50.5111,60.7518,0.0000,0.0000 / 0.0000
[1/1],[520/938],50.6347,60.7548,0.0000,0.0000 / 0.0000
[1/1],[521/938],50.6418,60.7615,0.0000,0.0000 / 0.0000
[1/1],[522/938],50.1169,60.7446,0.0000,0.0000 / 0.0000
[1/1],[523/938],50.5330,60.7689,0.0000,0.0000 / 0.0000
[1/1],[524/938],50.2905,60.7458,0.0000,0.0000 / 0.0000
[1/1],[525/938],50.5296,60.7819,0.0000,0.0000 / 0.0000
[1/1],[526/938],50.3325,60.7516,0.0000,0.0000 / 0.0000
[1/1],[527/938],50.9679,60.7775,0.0000,0.0000 / 0.0000
[1/1],[528/938],50.5091,60.7467,0.0000,0.0000 / 0.0000
[1/1],[529/938],50.5358,60.7455,0.0000,0.0000 / 0.0000
[1/1],[530/938],50.4591,60.7514,0.0000,0.0000 / 0.0000
[1/1],[531/938],50.5409,60.7439,0.0000,0.0000 / 0.0000
[1/1],[532/938],50.6003,60.7674,0.0000,0.0000 / 0.0000
[1/1],[533/938],50.5313,60.7786,0.0000,0.0000 / 0.0000
[1/1],[534/938],50.8161,60.7533,0.0000,0.0000 / 0.0000
[1/1],[535/938],50.5808,60.7710,0.0000,0.0000 / 0.0000
[1/1],[536/938],50.8546,60.7737,0.0000,0.0000 / 0.0000
[1/1],[537/938],50.4179,60.7569,0.0000,0.0000 / 0.0000
[1/1],[538/938],50.3368,60.7701,0.0000,0.0000 / 0.0000
[1/1],[539/938],50.4375,60.7632,0.0000,0.0000 / 0.0000
[1/1],[540/938],50.6342,60.7336,0.0000,0.0000 / 0.0000
[1/1],[541/938],50.5071,60.7494,0.0000,0.0000 / 0.0000
[1/1],[542/938],50.6033,60.7463,0.0000,0.0000 / 0.0000
[1/1],[543/938],50.6950,60.7261,0.0000,0.0000 / 0.0000
[1/1],[544/938],50.5483,60.7723,0.0000,0.0000 / 0.0000
[1/1],[545/938],50.1293,60.7254,0.0000,0.0000 / 0.0000
[1/1],[546/938],50.4851,60.7643,0.0000,0.0000 / 0.0000
[1/1],[547/938],50.5461,60.7626,0.0000,0.0000 / 0.0000
[1/1],[548/938],50.3056,60.7339,0.0000,0.0000 / 0.0000
[1/1],[549/938],50.4576,60.7413,0.0000,0.0000 / 0.0000
[1/1],[550/938],50.5798,60.7662,0.0000,0.0000 / 0.0000
[1/1],[551/938],50.5326,60.7744,0.0000,0.0000 / 0.0000
[1/1],[552/938],50.1885,60.7489,0.0000,0.0000 / 0.0000
[1/1],[553/938],50.5645,60.7700,0.0000,0.0000 / 0.0000
[1/1],[554/938],50.5468,60.7540,0.0000,0.0000 / 0.0000
[1/1],[555/938],50.6857,60.7526,0.0000,0.0000 / 0.0000
[1/1],[556/938],50.6739,60.7303,0.0000,0.0000 / 0.0000
[1/1],[557/938],50.7132,60.7714,0.0000,0.0000 / 0.0000
[1/1],[558/938],50.4247,60.7708,0.0000,0.0000 / 0.0000
[1/1],[559/938],50.7662,60.7584,0.0000,0.0000 / 0.0000
[1/1],[560/938],50.5519,60.7628,0.0000,0.0000 / 0.0000
[1/1],[561/938],50.1860,60.7662,0.0000,0.0000 / 0.0000
[1/1],[562/938],50.5462,60.7899,0.0000,0.0000 / 0.0000
[1/1],[563/938],50.6342,60.7346,0.0000,0.0000 / 0.0000
[1/1],[564/938],50.5822,60.7511,0.0000,0.0000 / 0.0000
[1/1],[565/938],50.5408,60.7513,0.0000,0.0000 / 0.0000
[1/1],[566/938],50.4610,60.7520,0.0000,0.0000 / 0.0000
[1/1],[567/938],50.3483,60.7348,0.0000,0.0000 / 0.0000
[1/1],[568/938],50.5785,60.7690,0.0000,0.0000 / 0.0000
[1/1],[569/938],50.4715,60.7586,0.0000,0.0000 / 0.0000
[1/1],[570/938],50.5130,60.7667,0.0000,0.0000 / 0.0000
[1/1],[571/938],50.3524,60.7796,0.0000,0.0000 / 0.0000
[1/1],[572/938],50.3197,60.7380,0.0000,0.0000 / 0.0000
[1/1],[573/938],50.6079,60.7649,0.0000,0.0000 / 0.0000
[1/1],[574/938],50.3775,60.7482,0.0000,0.0000 / 0.0000
[1/1],[575/938],50.3335,60.7579,0.0000,0.0000 / 0.0000
[1/1],[576/938],50.3923,60.7357,0.0000,0.0000 / 0.0000
[1/1],[577/938],50.4604,60.7626,0.0000,0.0000 / 0.0000
[1/1],[578/938],50.2530,60.7835,0.0000,0.0000 / 0.0000
[1/1],[579/938],50.7411,60.7458,0.0000,0.0000 / 0.0000
[1/1],[580/938],50.4812,60.7528,0.0000,0.0000 / 0.0000
[1/1],[581/938],50.4510,60.7570,0.0000,0.0000 / 0.0000
[1/1],[582/938],50.4138,60.7664,0.0000,0.0000 / 0.0000
[1/1],[583/938],50.2768,60.7569,0.0000,0.0000 / 0.0000
[1/1],[584/938],50.1815,60.7764,0.0000,0.0000 / 0.0000
[1/1],[585/938],50.4552,60.7390,0.0000,0.0000 / 0.0000
[1/1],[586/938],50.4975,60.7369,0.0000,0.0000 / 0.0000
[1/1],[587/938],50.5876,60.7393,0.0000,0.0000 / 0.0000
[1/1],[588/938],50.6601,60.7608,0.0000,0.0000 / 0.0000
[1/1],[589/938],50.4086,60.7661,0.0000,0.0000 / 0.0000
[1/1],[590/938],50.2083,60.7823,0.0000,0.0000 / 0.0000
[1/1],[591/938],50.5696,60.7601,0.0000,0.0000 / 0.0000
[1/1],[592/938],50.3348,60.7773,0.0000,0.0000 / 0.0000
[1/1],[593/938],50.5713,60.7447,0.0000,0.0000 / 0.0000
[1/1],[594/938],50.1239,60.7152,0.0000,0.0000 / 0.0000
[1/1],[595/938],50.1313,60.7526,0.0000,0.0000 / 0.0000
[1/1],[596/938],50.1999,60.7925,0.0000,0.0000 / 0.0000
[1/1],[597/938],50.4930,60.7463,0.0000,0.0000 / 0.0000
[1/1],[598/938],50.6747,60.7471,0.0000,0.0000 / 0.0000
[1/1],[599/938],50.5467,60.7498,0.0000,0.0000 / 0.0000
[1/1],[600/938],50.5068,60.7504,0.0000,0.0000 / 0.0000
[1/1],[601/938],50.5258,60.7380,0.0000,0.0000 / 0.0000
[1/1],[602/938],50.4765,60.7840,0.0000,0.0000 / 0.0000
[1/1],[603/938],50.4197,60.7368,0.0000,0.0000 / 0.0000
[1/1],[604/938],50.4015,60.7673,0.0000,0.0000 / 0.0000
[1/1],[605/938],50.3107,60.7567,0.0000,0.0000 / 0.0000
[1/1],[606/938],50.4765,60.7614,0.0000,0.0000 / 0.0000
[1/1],[607/938],50.5038,60.7560,0.0000,0.0000 / 0.0000
[1/1],[608/938],50.4125,60.7512,0.0000,0.0000 / 0.0000
[1/1],[609/938],50.5930,60.7694,0.0000,0.0000 / 0.0000
[1/1],[610/938],50.5522,60.7848,0.0000,0.0000 / 0.0000
[1/1],[611/938],50.2167,60.7585,0.0000,0.0000 / 0.0000
[1/1],[612/938],50.3561,60.7473,0.0000,0.0000 / 0.0000
[1/1],[613/938],50.6567,60.7789,0.0000,0.0000 / 0.0000
[1/1],[614/938],50.4362,60.7597,0.0000,0.0000 / 0.0000
[1/1],[615/938],50.5460,60.7711,0.0000,0.0000 / 0.0000
[1/1],[616/938],50.3067,60.7665,0.0000,0.0000 / 0.0000
[1/1],[617/938],50.4672,60.7503,0.0000,0.0000 / 0.0000
[1/1],[618/938],50.4000,60.7440,0.0000,0.0000 / 0.0000
[1/1],[619/938],50.4873,60.7771,0.0000,0.0000 / 0.0000
[1/1],[620/938],50.5260,60.7767,0.0000,0.0000 / 0.0000
[1/1],[621/938],50.4485,60.7369,0.0000,0.0000 / 0.0000
[1/1],[622/938],50.6447,60.7616,0.0000,0.0000 / 0.0000
[1/1],[623/938],50.5160,60.7874,0.0000,0.0000 / 0.0000
[1/1],[624/938],50.2839,60.7305,0.0000,0.0000 / 0.0000
[1/1],[625/938],50.4744,60.7839,0.0000,0.0000 / 0.0000
[1/1],[626/938],50.7866,60.7594,0.0000,0.0000 / 0.0000
[1/1],[627/938],50.6619,60.7806,0.0000,0.0000 / 0.0000
[1/1],[628/938],50.6046,60.7637,0.0000,0.0000 / 0.0000
[1/1],[629/938],50.5041,60.7531,0.0000,0.0000 / 0.0000
[1/1],[630/938],50.4090,60.7592,0.0000,0.0000 / 0.0000
[1/1],[631/938],50.3583,60.7618,0.0000,0.0000 / 0.0000
[1/1],[632/938],50.3451,60.7563,0.0000,0.0000 / 0.0000
[1/1],[633/938],50.7215,60.7678,0.0000,0.0000 / 0.0000
[1/1],[634/938],50.5805,60.7479,0.0000,0.0000 / 0.0000
[1/1],[635/938],50.4221,60.7338,0.0000,0.0000 / 0.0000
[1/1],[636/938],50.4003,60.7526,0.0000,0.0000 / 0.0000
[1/1],[637/938],50.4889,60.7543,0.0000,0.0000 / 0.0000
[1/1],[638/938],50.3943,60.7457,0.0000,0.0000 / 0.0000
[1/1],[639/938],50.6016,60.7570,0.0000,0.0000 / 0.0000
[1/1],[640/938],50.1864,60.7605,0.0000,0.0000 / 0.0000
[1/1],[641/938],50.4684,60.7477,0.0000,0.0000 / 0.0000
[1/1],[642/938],50.6829,60.7580,0.0000,0.0000 / 0.0000
[1/1],[643/938],50.6178,60.7618,0.0000,0.0000 / 0.0000
[1/1],[644/938],50.5931,60.7543,0.0000,0.0000 / 0.0000
[1/1],[645/938],50.5650,60.7737,0.0000,0.0000 / 0.0000
[1/1],[646/938],50.3568,60.7762,0.0000,0.0000 / 0.0000
[1/1],[647/938],50.6808,60.7762,0.0000,0.0000 / 0.0000
[1/1],[648/938],50.3998,60.7612,0.0000,0.0000 / 0.0000
[1/1],[649/938],50.4827,60.7319,0.0000,0.0000 / 0.0000
[1/1],[650/938],50.3798,60.7772,0.0000,0.0000 / 0.0000
[1/1],[651/938],50.9173,60.7457,0.0000,0.0000 / 0.0000
[1/1],[652/938],50.1598,60.7504,0.0000,0.0000 / 0.0000
[1/1],[653/938],50.3867,60.7395,0.0000,0.0000 / 0.0000
[1/1],[654/938],50.6251,60.7631,0.0000,0.0000 / 0.0000
[1/1],[655/938],50.6359,60.7637,0.0000,0.0000 / 0.0000
[1/1],[656/938],50.5725,60.7422,0.0000,0.0000 / 0.0000
[1/1],[657/938],50.3663,60.7404,0.0000,0.0000 / 0.0000
[1/1],[658/938],50.3179,60.7548,0.0000,0.0000 / 0.0000
[1/1],[659/938],50.4935,60.7290,0.0000,0.0000 / 0.0000
[1/1],[660/938],50.6486,60.7620,0.0000,0.0000 / 0.0000
[1/1],[661/938],50.5411,60.7472,0.0000,0.0000 / 0.0000
[1/1],[662/938],50.4728,60.7593,0.0000,0.0000 / 0.0000
[1/1],[663/938],50.6531,60.7365,0.0000,0.0000 / 0.0000
[1/1],[664/938],50.3679,60.7558,0.0000,0.0000 / 0.0000
[1/1],[665/938],50.3909,60.7455,0.0000,0.0000 / 0.0000
[1/1],[666/938],50.6235,60.7373,0.0000,0.0000 / 0.0000
[1/1],[667/938],50.5143,60.7566,0.0000,0.0000 / 0.0000
[1/1],[668/938],50.4573,60.7692,0.0000,0.0000 / 0.0000
[1/1],[669/938],50.2344,60.7499,0.0000,0.0000 / 0.0000
[1/1],[670/938],50.0716,60.7452,0.0000,0.0000 / 0.0000
[1/1],[671/938],50.4670,60.7715,0.0000,0.0000 / 0.0000
[1/1],[672/938],50.3312,60.7656,0.0000,0.0000 / 0.0000
[1/1],[673/938],50.3136,60.7570,0.0000,0.0000 / 0.0000
[1/1],[674/938],50.2794,60.7526,0.0000,0.0000 / 0.0000
[1/1],[675/938],50.6465,60.7776,0.0000,0.0000 / 0.0000
[1/1],[676/938],50.5244,60.7650,0.0000,0.0000 / 0.0000
[1/1],[677/938],50.2854,60.7450,0.0000,0.0000 / 0.0000
[1/1],[678/938],50.3992,60.7494,0.0000,0.0000 / 0.0000
[1/1],[679/938],50.3815,60.7437,0.0000,0.0000 / 0.0000
[1/1],[680/938],50.5123,60.7554,0.0000,0.0000 / 0.0000
[1/1],[681/938],50.1678,60.7729,0.0000,0.0000 / 0.0000
[1/1],[682/938],50.5187,60.7832,0.0000,0.0000 / 0.0000
[1/1],[683/938],50.3340,60.7725,0.0000,0.0000 / 0.0000
[1/1],[684/938],50.4993,60.7783,0.0000,0.0000 / 0.0000
[1/1],[685/938],50.5765,60.7424,0.0000,0.0000 / 0.0000
[1/1],[686/938],50.3937,60.7480,0.0000,0.0000 / 0.0000
[1/1],[687/938],50.4533,60.7503,0.0000,0.0000 / 0.0000
[1/1],[688/938],50.0490,60.7827,0.0000,0.0000 / 0.0000
[1/1],[689/938],50.4784,60.7584,0.0000,0.0000 / 0.0000
[1/1],[690/938],50.3501,60.7493,0.0000,0.0000 / 0.0000
[1/1],[691/938],50.6295,60.7355,0.0000,0.0000 / 0.0000
[1/1],[692/938],50.1426,60.7672,0.0000,0.0000 / 0.0000
[1/1],[693/938],50.2596,60.7482,0.0000,0.0000 / 0.0000
[1/1],[694/938],50.4794,60.7647,0.0000,0.0000 / 0.0000
[1/1],[695/938],50.5989,60.7547,0.0000,0.0000 / 0.0000
[1/1],[696/938],50.2498,60.7637,0.0000,0.0000 / 0.0000
[1/1],[697/938],50.2778,60.7456,0.0000,0.0000 / 0.0000
[1/1],[698/938],50.5862,60.7446,0.0000,0.0000 / 0.0000
[1/1],[699/938],50.5564,60.7383,0.0000,0.0000 / 0.0000
[1/1],[700/938],50.5497,60.7407,0.0000,0.0000 / 0.0000
[1/1],[701/938],50.4225,60.7857,0.0000,0.0000 / 0.0000
[1/1],[702/938],50.4548,60.7766,0.0000,0.0000 / 0.0000
[1/1],[703/938],50.2074,60.7345,0.0000,0.0000 / 0.0000
[1/1],[704/938],50.4319,60.7401,0.0000,0.0000 / 0.0000
[1/1],[705/938],50.3354,60.7677,0.0000,0.0000 / 0.0000
[1/1],[706/938],50.6352,60.7713,0.0000,0.0000 / 0.0000
[1/1],[707/938],50.4715,60.7472,0.0000,0.0000 / 0.0000
[1/1],[708/938],50.5673,60.7265,0.0000,0.0000 / 0.0000
[1/1],[709/938],50.3247,60.7948,0.0000,0.0000 / 0.0000
[1/1],[710/938],50.3431,60.7438,0.0000,0.0000 / 0.0000
[1/1],[711/938],50.5905,60.7320,0.0000,0.0000 / 0.0000
[1/1],[712/938],50.6912,60.7555,0.0000,0.0000 / 0.0000
[1/1],[713/938],50.3312,60.7757,0.0000,0.0000 / 0.0000
[1/1],[714/938],50.4251,60.7484,0.0000,0.0000 / 0.0000
[1/1],[715/938],50.3378,60.7588,0.0000,0.0000 / 0.0000
[1/1],[716/938],50.1433,60.7365,0.0000,0.0000 / 0.0000
[1/1],[717/938],50.1472,60.7630,0.0000,0.0000 / 0.0000
[1/1],[718/938],50.4752,60.7353,0.0000,0.0000 / 0.0000
[1/1],[719/938],50.3141,60.7673,0.0000,0.0000 / 0.0000
[1/1],[720/938],50.4197,60.7742,0.0000,0.0000 / 0.0000
[1/1],[721/938],50.4216,60.7733,0.0000,0.0000 / 0.0000
[1/1],[722/938],50.5522,60.7388,0.0000,0.0000 / 0.0000
[1/1],[723/938],50.1114,60.7376,0.0000,0.0000 / 0.0000
[1/1],[724/938],50.0470,60.7706,0.0000,0.0000 / 0.0000
[1/1],[725/938],50.1227,60.7599,0.0000,0.0000 / 0.0000
[1/1],[726/938],50.5878,60.7489,0.0000,0.0000 / 0.0000
[1/1],[727/938],50.3612,60.7493,0.0000,0.0000 / 0.0000
[1/1],[728/938],50.3927,60.7821,0.0000,0.0000 / 0.0000
[1/1],[729/938],50.7149,60.7543,0.0000,0.0000 / 0.0000
[1/1],[730/938],50.4433,60.7406,0.0000,0.0000 / 0.0000
[1/1],[731/938],50.3452,60.7485,0.0000,0.0000 / 0.0000
[1/1],[732/938],50.4877,60.7499,0.0000,0.0000 / 0.0000
[1/1],[733/938],50.4070,60.7532,0.0000,0.0000 / 0.0000
[1/1],[734/938],50.6066,60.7212,0.0000,0.0000 / 0.0000
[1/1],[735/938],50.0829,60.7600,0.0000,0.0000 / 0.0000
[1/1],[736/938],50.5285,60.7732,0.0000,0.0000 / 0.0000
[1/1],[737/938],50.6029,60.7870,0.0000,0.0000 / 0.0000
[1/1],[738/938],50.7054,60.7492,0.0000,0.0000 / 0.0000
[1/1],[739/938],50.5035,60.7527,0.0000,0.0000 / 0.0000
[1/1],[740/938],50.6480,60.7747,0.0000,0.0000 / 0.0000
[1/1],[741/938],50.3746,60.7832,0.0000,0.0000 / 0.0000
[1/1],[742/938],50.4200,60.7582,0.0000,0.0000 / 0.0000
[1/1],[743/938],50.7958,60.7521,0.0000,0.0000 / 0.0000
[1/1],[744/938],50.3088,60.7433,0.0000,0.0000 / 0.0000
[1/1],[745/938],50.1711,60.7633,0.0000,0.0000 / 0.0000
[1/1],[746/938],50.5741,60.7523,0.0000,0.0000 / 0.0000
[1/1],[747/938],50.3526,60.7688,0.0000,0.0000 / 0.0000
[1/1],[748/938],50.2373,60.7643,0.0000,0.0000 / 0.0000
[1/1],[749/938],50.4107,60.7394,0.0000,0.0000 / 0.0000
[1/1],[750/938],50.2666,60.7523,0.0000,0.0000 / 0.0000
