Epoch, Batch, Loss_D, Loss_G, D(x), D(G(z))
[1/1],[85/938],0.0231,8.1917,0.9947,0.0174 / 0.0004
[1/1],[86/938],0.0182,8.1323,0.9926,0.0099 / 0.0004
[1/1],[87/938],0.0144,8.0175,0.9977,0.0120 / 0.0004
[1/1],[88/938],0.0241,8.1056,0.9915,0.0138 / 0.0004
[1/1],[89/938],0.0156,7.9486,0.9930,0.0081 / 0.0004
[1/1],[90/938],0.0177,8.1220,0.9961,0.0136 / 0.0004
[1/1],[91/938],0.0098,8.0289,0.9976,0.0074 / 0.0004
[1/1],[92/938],0.0128,7.6917,0.9958,0.0084 / 0.0005
[1/1],[93/938],0.0241,7.6970,0.9886,0.0110 / 0.0005
[1/1],[94/938],0.0244,8.0455,0.9903,0.0134 / 0.0004
[1/1],[95/938],0.0094,8.0113,0.9979,0.0072 / 0.0004
[1/1],[96/938],0.0092,7.6112,0.9966,0.0057 / 0.0006
[1/1],[97/938],0.0191,7.1889,0.9894,0.0067 / 0.0009
[1/1],[98/938],0.0226,7.5725,0.9914,0.0122 / 0.0006
[1/1],[99/938],0.0105,7.7029,0.9962,0.0066 / 0.0005
[1/1],[100/938],0.0312,7.3362,0.9869,0.0068 / 0.0008
[1/1],[101/938],0.0129,7.7776,0.9993,0.0121 / 0.0005
[1/1],[102/938],0.0081,7.9267,0.9996,0.0076 / 0.0004
[1/1],[103/938],0.0106,7.8422,0.9980,0.0084 / 0.0005
[1/1],[104/938],0.0085,7.8868,0.9983,0.0067 / 0.0005
[1/1],[105/938],0.0077,7.6899,0.9996,0.0072 / 0.0005
[1/1],[106/938],0.0081,7.7211,0.9993,0.0073 / 0.0005
[1/1],[107/938],0.0074,7.6689,0.9993,0.0067 / 0.0005
[1/1],[108/938],0.0119,7.6579,0.9959,0.0074 / 0.0006
[1/1],[109/938],0.0069,7.6265,0.9990,0.0059 / 0.0006
[1/1],[110/938],0.0112,7.7246,0.9980,0.0091 / 0.0005
[1/1],[111/938],0.0059,7.7863,0.9996,0.0054 / 0.0005
[1/1],[112/938],0.0083,7.8134,0.9995,0.0077 / 0.0005
[1/1],[113/938],0.0079,7.6838,0.9973,0.0051 / 0.0006
[1/1],[114/938],0.0075,7.4976,0.9974,0.0048 / 0.0007
[1/1],[115/938],0.0086,7.4136,0.9985,0.0071 / 0.0007
[1/1],[116/938],0.0095,7.4994,0.9959,0.0051 / 0.0007
[1/1],[117/938],0.0107,7.4505,0.9961,0.0065 / 0.0007
[1/1],[118/938],0.0117,7.5965,0.9967,0.0082 / 0.0006
[1/1],[119/938],0.0116,7.8074,0.9963,0.0077 / 0.0005
[1/1],[120/938],0.0075,7.8114,0.9981,0.0056 / 0.0005
[1/1],[121/938],0.0061,7.6388,0.9994,0.0055 / 0.0006
[1/1],[122/938],0.0087,7.5079,0.9970,0.0056 / 0.0006
[1/1],[123/938],0.0075,7.5492,0.9976,0.0050 / 0.0007
[1/1],[124/938],0.0091,7.4443,0.9979,0.0070 / 0.0007
[1/1],[125/938],0.0104,7.6286,0.9975,0.0077 / 0.0006
[1/1],[126/938],0.0067,7.7135,0.9979,0.0046 / 0.0005
[1/1],[127/938],0.0045,7.5454,0.9997,0.0042 / 0.0006
[1/1],[128/938],0.0097,7.3614,0.9953,0.0044 / 0.0007
[1/1],[129/938],0.0073,7.3458,0.9980,0.0052 / 0.0007
[1/1],[130/938],0.0043,7.4246,0.9997,0.0040 / 0.0007
[1/1],[131/938],0.0092,7.3421,0.9960,0.0048 / 0.0007
[1/1],[132/938],0.0060,7.4665,0.9993,0.0053 / 0.0007
[1/1],[133/938],0.0056,7.4697,0.9982,0.0037 / 0.0006
[1/1],[134/938],0.0031,7.5049,0.9998,0.0029 / 0.0007
[1/1],[135/938],0.0058,7.2352,0.9984,0.0041 / 0.0008
[1/1],[136/938],0.0085,7.3563,0.9980,0.0064 / 0.0007
[1/1],[137/938],0.0075,7.6333,0.9979,0.0054 / 0.0006
[1/1],[138/938],0.0052,7.6077,0.9986,0.0038 / 0.0006
[1/1],[139/938],0.0063,7.5535,0.9969,0.0031 / 0.0006
[1/1],[140/938],0.0056,7.3157,0.9987,0.0042 / 0.0008
[1/1],[141/938],0.0057,7.3583,0.9995,0.0051 / 0.0007
[1/1],[142/938],0.0102,7.6013,0.9961,0.0062 / 0.0006
[1/1],[143/938],0.0057,7.6879,0.9998,0.0055 / 0.0005
[1/1],[144/938],0.0062,7.7445,0.9970,0.0031 / 0.0005
[1/1],[145/938],0.0037,7.4707,0.9998,0.0035 / 0.0006
[1/1],[146/938],0.0135,7.8127,0.9964,0.0095 / 0.0005
[1/1],[147/938],0.0098,8.4660,0.9992,0.0089 / 0.0002
[1/1],[148/938],0.0060,8.2916,0.9990,0.0050 / 0.0003
[1/1],[149/938],0.0053,7.9375,0.9994,0.0047 / 0.0004
[1/1],[150/938],0.0065,7.8234,0.9996,0.0061 / 0.0005
[1/1],[151/938],0.0084,7.9698,0.9989,0.0073 / 0.0004
[1/1],[152/938],0.0045,7.9656,0.9994,0.0039 / 0.0004
[1/1],[153/938],0.0033,7.7850,0.9994,0.0027 / 0.0005
[1/1],[154/938],0.0078,7.4000,0.9981,0.0059 / 0.0007
[1/1],[155/938],0.0248,10.3382,0.9988,0.0232 / 0.0000
[1/1],[156/938],0.0016,10.7041,0.9990,0.0006 / 0.0000
[1/1],[157/938],0.0010,9.8548,0.9993,0.0003 / 0.0001
[1/1],[158/938],0.0016,8.4709,0.9990,0.0006 / 0.0002
[1/1],[159/938],0.0031,7.1658,0.9990,0.0021 / 0.0009
[1/1],[160/938],0.0143,7.5039,0.9957,0.0096 / 0.0007
[1/1],[161/938],0.0098,8.0999,0.9984,0.0082 / 0.0003
[1/1],[162/938],0.0046,8.1475,0.9992,0.0038 / 0.0003
[1/1],[163/938],0.0027,7.9239,0.9997,0.0024 / 0.0004
[1/1],[164/938],0.0037,7.5156,0.9994,0.0031 / 0.0006
[1/1],[165/938],0.0105,7.4082,0.9949,0.0050 / 0.0007
[1/1],[166/938],0.0100,7.9449,0.9977,0.0076 / 0.0004
[1/1],[167/938],0.0038,8.0587,0.9997,0.0035 / 0.0004
[1/1],[168/938],0.0036,7.8491,0.9991,0.0027 / 0.0004
[1/1],[169/938],0.0077,7.5106,0.9962,0.0037 / 0.0006
[1/1],[170/938],0.0047,7.5957,0.9992,0.0039 / 0.0006
[1/1],[171/938],0.0034,7.6028,0.9995,0.0030 / 0.0006
[1/1],[172/938],0.0059,7.4767,0.9982,0.0040 / 0.0006
[1/1],[173/938],0.0128,8.4927,0.9983,0.0110 / 0.0002
[1/1],[174/938],0.0032,8.6389,0.9988,0.0020 / 0.0002
[1/1],[175/938],0.0026,8.0297,0.9993,0.0019 / 0.0004
[1/1],[176/938],0.0043,7.4834,0.9993,0.0035 / 0.0006
[1/1],[177/938],0.0056,7.5800,0.9992,0.0048 / 0.0006
[1/1],[178/938],0.0065,7.7198,0.9980,0.0044 / 0.0005
[1/1],[179/938],0.0063,7.7907,0.9974,0.0036 / 0.0005
[1/1],[180/938],0.0023,7.8790,0.9996,0.0019 / 0.0004
[1/1],[181/938],0.0031,7.5073,0.9996,0.0026 / 0.0006
[1/1],[182/938],0.0058,7.5160,0.9992,0.0050 / 0.0006
[1/1],[183/938],0.0051,7.7718,0.9994,0.0045 / 0.0005
[1/1],[184/938],0.0071,7.9365,0.9978,0.0048 / 0.0004
[1/1],[185/938],0.0038,7.9638,0.9991,0.0029 / 0.0004
[1/1],[186/938],0.0032,7.7512,0.9994,0.0026 / 0.0005
[1/1],[187/938],0.0024,7.7796,0.9993,0.0017 / 0.0005
[1/1],[188/938],0.0029,7.4856,0.9991,0.0021 / 0.0006
[1/1],[189/938],0.0046,7.4396,0.9995,0.0042 / 0.0007
[1/1],[190/938],0.0055,7.6842,0.9991,0.0046 / 0.0005
[1/1],[191/938],0.0030,7.8878,0.9995,0.0025 / 0.0004
[1/1],[192/938],0.0025,7.7816,0.9994,0.0019 / 0.0005
[1/1],[193/938],0.0051,7.6395,0.9970,0.0020 / 0.0006
[1/1],[194/938],0.0047,7.3615,0.9997,0.0044 / 0.0007
[1/1],[195/938],0.0046,7.6787,0.9997,0.0043 / 0.0005
[1/1],[196/938],0.0032,7.8327,0.9996,0.0028 / 0.0004
[1/1],[197/938],0.0025,7.8112,0.9994,0.0019 / 0.0005
[1/1],[198/938],0.0033,7.5356,0.9995,0.0028 / 0.0006
[1/1],[199/938],0.0050,7.5776,0.9998,0.0048 / 0.0006
[1/1],[200/938],0.0039,7.8690,0.9990,0.0029 / 0.0005
[1/1],[201/938],0.0045,7.9333,0.9973,0.0016 / 0.0004
[1/1],[202/938],0.0027,7.6484,0.9994,0.0022 / 0.0006
[1/1],[203/938],0.0031,7.4362,0.9994,0.0025 / 0.0007
[1/1],[204/938],0.0032,7.4648,0.9996,0.0029 / 0.0007
[1/1],[205/938],0.0037,7.4941,0.9995,0.0032 / 0.0006
[1/1],[206/938],0.0041,7.6863,0.9995,0.0036 / 0.0006
[1/1],[207/938],0.0029,7.6981,0.9997,0.0026 / 0.0005
[1/1],[208/938],0.0036,7.6779,0.9999,0.0034 / 0.0006
[1/1],[209/938],0.0036,7.6605,0.9990,0.0026 / 0.0005
[1/1],[210/938],0.0043,7.5960,0.9997,0.0040 / 0.0006
[1/1],[211/938],0.0078,7.8003,0.9976,0.0052 / 0.0005
[1/1],[212/938],0.0042,7.8801,0.9996,0.0038 / 0.0004
[1/1],[213/938],0.0030,7.8808,0.9994,0.0024 / 0.0004
[1/1],[214/938],0.0033,7.5922,0.9996,0.0029 / 0.0006
[1/1],[215/938],0.0038,7.5820,0.9996,0.0034 / 0.0006
[1/1],[216/938],0.0036,7.5566,0.9995,0.0031 / 0.0006
[1/1],[217/938],0.0038,7.5603,0.9991,0.0030 / 0.0006
[1/1],[218/938],0.0034,7.4688,0.9995,0.0028 / 0.0006
[1/1],[219/938],0.0047,7.4875,0.9994,0.0041 / 0.0006
[1/1],[220/938],0.0042,7.5821,0.9993,0.0034 / 0.0006
[1/1],[221/938],0.0036,7.6408,0.9991,0.0027 / 0.0006
[1/1],[222/938],0.0026,7.6215,0.9995,0.0021 / 0.0006
[1/1],[223/938],0.0065,7.3739,0.9975,0.0038 / 0.0007
[1/1],[224/938],0.0050,7.5087,0.9993,0.0042 / 0.0006
[1/1],[225/938],0.0042,7.6855,0.9998,0.0040 / 0.0005
[1/1],[226/938],0.0034,7.7739,0.9990,0.0024 / 0.0005
[1/1],[227/938],0.0028,7.7635,0.9990,0.0019 / 0.0005
[1/1],[228/938],0.0022,7.6052,0.9995,0.0017 / 0.0006
[1/1],[229/938],0.0033,7.2986,0.9992,0.0025 / 0.0008
[1/1],[230/938],0.0045,7.2906,0.9996,0.0040 / 0.0008
[1/1],[231/938],0.0051,7.6040,0.9997,0.0048 / 0.0006
[1/1],[232/938],0.0040,7.7637,0.9990,0.0030 / 0.0005
[1/1],[233/938],0.0025,7.7986,0.9993,0.0018 / 0.0004
[1/1],[234/938],0.0021,7.6677,0.9995,0.0016 / 0.0005
[1/1],[235/938],0.0023,7.4229,0.9996,0.0019 / 0.0007
