Epoch, Batch, Loss
[1/1],[212/938],1.4810
[1/1],[213/938],1.5010
[1/1],[214/938],1.5049
[1/1],[215/938],1.4923
[1/1],[216/938],1.5263
[1/1],[217/938],1.5246
[1/1],[218/938],1.4828
[1/1],[219/938],1.4959
[1/1],[220/938],1.4762
[1/1],[221/938],1.5285
[1/1],[222/938],1.4941
[1/1],[223/938],1.4997
[1/1],[224/938],1.4855
[1/1],[225/938],1.5071
[1/1],[226/938],1.4747
[1/1],[227/938],1.4704
[1/1],[228/938],1.4862
[1/1],[229/938],1.5011
[1/1],[230/938],1.4837
[1/1],[231/938],1.5105
[1/1],[232/938],1.5028
[1/1],[233/938],1.4848
[1/1],[234/938],1.4937
[1/1],[235/938],1.5373
[1/1],[236/938],1.4931
[1/1],[237/938],1.5542
[1/1],[238/938],1.5143
[1/1],[239/938],1.5078
[1/1],[240/938],1.4932
[1/1],[241/938],1.5066
[1/1],[242/938],1.4699
[1/1],[243/938],1.5536
[1/1],[244/938],1.5014
[1/1],[245/938],1.4888
[1/1],[246/938],1.5168
[1/1],[247/938],1.4651
[1/1],[248/938],1.5183
[1/1],[249/938],1.4810
[1/1],[250/938],1.5254
[1/1],[251/938],1.4766
[1/1],[252/938],1.4894
[1/1],[253/938],1.4733
[1/1],[254/938],1.4877
[1/1],[255/938],1.4889
[1/1],[256/938],1.5347
[1/1],[257/938],1.5110
[1/1],[258/938],1.5244
[1/1],[259/938],1.4991
[1/1],[260/938],1.5033
[1/1],[261/938],1.5396
[1/1],[262/938],1.5084
[1/1],[263/938],1.4908
[1/1],[264/938],1.5014
[1/1],[265/938],1.4789
[1/1],[266/938],1.5388
[1/1],[267/938],1.5251
[1/1],[268/938],1.4949
[1/1],[269/938],1.4806
[1/1],[270/938],1.5249
[1/1],[271/938],1.4993
[1/1],[272/938],1.4707
[1/1],[273/938],1.4655
[1/1],[274/938],1.5290
[1/1],[275/938],1.5285
[1/1],[276/938],1.4895
[1/1],[277/938],1.5356
[1/1],[278/938],1.4898
[1/1],[279/938],1.4781
[1/1],[280/938],1.5190
[1/1],[281/938],1.5220
[1/1],[282/938],1.4905
[1/1],[283/938],1.4954
[1/1],[284/938],1.4944
[1/1],[285/938],1.4811
[1/1],[286/938],1.4803
[1/1],[287/938],1.4953
[1/1],[288/938],1.4926
[1/1],[289/938],1.4891
[1/1],[290/938],1.5575
[1/1],[291/938],1.5074
[1/1],[292/938],1.5536
[1/1],[293/938],1.4962
[1/1],[294/938],1.5036
[1/1],[295/938],1.4821
[1/1],[296/938],1.5357
[1/1],[297/938],1.4685
[1/1],[298/938],1.5060
[1/1],[299/938],1.5082
[1/1],[300/938],1.4819
[1/1],[301/938],1.5522
[1/1],[302/938],1.4921
[1/1],[303/938],1.4895
[1/1],[304/938],1.4819
[1/1],[305/938],1.4792
[1/1],[306/938],1.4980
[1/1],[307/938],1.5165
[1/1],[308/938],1.4743
[1/1],[309/938],1.5184
[1/1],[310/938],1.4678
[1/1],[311/938],1.5002
[1/1],[312/938],1.4790
[1/1],[313/938],1.4976
[1/1],[314/938],1.4874
[1/1],[315/938],1.4856
[1/1],[316/938],1.4912
[1/1],[317/938],1.4730
[1/1],[318/938],1.4689
[1/1],[319/938],1.5161
[1/1],[320/938],1.4680
[1/1],[321/938],1.4940
[1/1],[322/938],1.4900
[1/1],[323/938],1.5050
[1/1],[324/938],1.4921
[1/1],[325/938],1.4970
[1/1],[326/938],1.5028
[1/1],[327/938],1.4692
[1/1],[328/938],1.4997
[1/1],[329/938],1.5043
[1/1],[330/938],1.4799
[1/1],[331/938],1.4717
[1/1],[332/938],1.5098
[1/1],[333/938],1.4972
[1/1],[334/938],1.4992
[1/1],[335/938],1.5075
[1/1],[336/938],1.4852
[1/1],[337/938],1.5366
[1/1],[338/938],1.5099
[1/1],[339/938],1.4887
[1/1],[340/938],1.5043
[1/1],[341/938],1.4926
[1/1],[342/938],1.4998
[1/1],[343/938],1.5091
[1/1],[344/938],1.4776
[1/1],[345/938],1.5016
[1/1],[346/938],1.5008
[1/1],[347/938],1.5233
[1/1],[348/938],1.4762
[1/1],[349/938],1.4991
[1/1],[350/938],1.5397
[1/1],[351/938],1.5277
[1/1],[352/938],1.4835
[1/1],[353/938],1.5071
[1/1],[354/938],1.4998
[1/1],[355/938],1.5190
[1/1],[356/938],1.4788
[1/1],[357/938],1.4953
[1/1],[358/938],1.4972
[1/1],[359/938],1.4881
[1/1],[360/938],1.4882
[1/1],[361/938],1.4993
[1/1],[362/938],1.4834
[1/1],[363/938],1.4968
