Epoch, Batch, Loss
[1/1],[266/938],1.4929
[1/1],[267/938],1.5051
[1/1],[268/938],1.4821
[1/1],[269/938],1.5412
[1/1],[270/938],1.5093
[1/1],[271/938],1.5173
[1/1],[272/938],1.4648
[1/1],[273/938],1.4946
[1/1],[274/938],1.4773
[1/1],[275/938],1.4902
[1/1],[276/938],1.4682
[1/1],[277/938],1.5057
[1/1],[278/938],1.5132
[1/1],[279/938],1.4762
[1/1],[280/938],1.5066
[1/1],[281/938],1.4871
[1/1],[282/938],1.5226
[1/1],[283/938],1.4759
[1/1],[284/938],1.4761
[1/1],[285/938],1.4956
[1/1],[286/938],1.4883
[1/1],[287/938],1.5330
[1/1],[288/938],1.4680
[1/1],[289/938],1.4812
[1/1],[290/938],1.5164
[1/1],[291/938],1.5019
[1/1],[292/938],1.5031
[1/1],[293/938],1.4765
[1/1],[294/938],1.4763
[1/1],[295/938],1.5014
[1/1],[296/938],1.5037
[1/1],[297/938],1.5028
[1/1],[298/938],1.4902
[1/1],[299/938],1.5361
[1/1],[300/938],1.4880
[1/1],[301/938],1.5260
[1/1],[302/938],1.5616
[1/1],[303/938],1.4880
[1/1],[304/938],1.4977
[1/1],[305/938],1.4718
[1/1],[306/938],1.4927
[1/1],[307/938],1.4903
[1/1],[308/938],1.5224
[1/1],[309/938],1.4962
[1/1],[310/938],1.5169
[1/1],[311/938],1.5310
[1/1],[312/938],1.4966
[1/1],[313/938],1.5021
[1/1],[314/938],1.4794
[1/1],[315/938],1.4934
[1/1],[316/938],1.4928
[1/1],[317/938],1.4821
[1/1],[318/938],1.5080
[1/1],[319/938],1.4854
[1/1],[320/938],1.4863
[1/1],[321/938],1.4846
[1/1],[322/938],1.4964
[1/1],[323/938],1.5343
[1/1],[324/938],1.4878
[1/1],[325/938],1.4769
[1/1],[326/938],1.5061
[1/1],[327/938],1.5032
[1/1],[328/938],1.5055
[1/1],[329/938],1.5054
[1/1],[330/938],1.4793
[1/1],[331/938],1.5171
